OriginalWord,PerturbWord,OriginalLabel,Misclassify,LengthOrig,LengthPert,SentimentOrig,SentimentPert,SyllableOrig,SyllablePert,SubjectivityOrig,SubjectivityPert
gracefully,nicely,Spam,Yes,10,6,0.0,0.6,3,2,0.0,1.0
symmetrical,symmetric,Spam,Yes,11,9,0.0,0.0,4,3,0.0,0.0
considerably,significantly,Spam,Yes,12,13,0.1,0.375,4,5,0.45,0.875
executed,implemented,Spam,Yes,8,11,0.0,0.0,4,4,0.0,0.0
auto,automobile,Spam,Yes,4,10,0.0,0.0,2,4,0.0,0.0
designer,decorator,Spam,Yes,8,9,0.0,0.0,3,4,0.0,0.0
builders,constructors,Spam,Yes,8,12,0.0,0.0,1,3,0.0,0.0
instructions,prompts,Spam,Yes,12,7,0.0,0.0,3,1,0.0,0.0
handed,supplied,Spam,Yes,6,8,0.0,0.0,2,2,0.0,0.0
points,matters,Spam,Yes,6,7,0.0,0.0,1,2,0.0,0.0
by,via,Ham,Yes,2,3,0.0,0.0,1,1,0.0,0.0
deprecate,castigate,Ham,Yes,9,9,0.0,0.0,3,3,0.0,0.0
generated,produced,Ham,Yes,9,8,0.0,0.0,4,2,0.0,0.0
child,childhood,Ham,Yes,5,9,0.0,0.0,1,2,0.0,0.0
method,manner,Ham,Yes,6,6,0.0,0.0,1,2,0.0,0.0
and,nor,Ham,Yes,3,3,0.0,0.0,1,1,0.0,0.0
child,childhood,Ham,Yes,5,9,0.0,0.0,1,2,0.0,0.0
it,y,Ham,Yes,2,1,0.0,0.0,1,1,0.0,0.0
for,per,Ham,Yes,3,3,0.0,0.0,1,1,0.0,0.0
--,;,Ham,Yes,2,1,0.0,0.0,0,0,0.0,0.0
Hello,hi,Ham,No,5,2,0.0,0.0,2,1,0.0,0.0
to,into,Ham,No,2,4,0.0,0.0,1,2,0.0,0.0
values,securities,Ham,No,6,10,0.0,0.0,2,4,0.0,0.0
via,throughout,Ham,No,3,10,0.0,0.0,1,2,0.0,0.0
where,wherever,Ham,No,5,8,0.0,0.0,1,3,0.0,0.0
giving,conferring,Ham,No,6,10,0.0,0.0,2,3,0.0,0.0
multiple,numerous,Ham,No,8,8,0.0,0.0,3,3,0.0,0.5
output,yield,Ham,No,6,5,0.0,0.0,2,1,0.0,0.0
individual,personal,Ham,No,10,8,0.0,0.0,5,3,0.4,0.3
